iter	Passed	Remaining
918	13617	1200
919	13632	1185
920	13647	1170
921	13661	1155
922	13676	1140
923	13690	1126
924	13704	1111
925	13719	1096
926	13733	1081
927	13748	1066
928	13762	1051
929	13776	1036
930	13791	1022
931	13805	1007
932	13820	992
933	13833	977
934	13848	962
935	13862	947
936	13880	933
937	13894	918
938	13908	903
939	13923	888
940	13939	873
941	13953	859
942	13967	844
943	13982	829
944	13998	814
945	14012	799
946	14026	785
947	14040	770
948	14054	755
949	14068	740
950	14081	725
951	14096	710
952	14110	695
953	14125	681
954	14139	666
955	14153	651
956	14168	636
957	14182	621
958	14196	606
959	14211	592
960	14226	577
961	14241	562
962	14256	547
963	14273	533
964	14288	518
965	14302	503
966	14317	488
967	14331	473
968	14345	458
969	14360	444
970	14374	429
971	14389	414
972	14403	399
973	14418	384
974	14432	370
975	14446	355
976	14461	340
977	14476	325
978	14490	310
979	14503	295
980	14517	281
981	14529	266
982	14544	251
983	14558	236
984	14584	222
985	14599	207
986	14614	192
987	14629	177
988	14643	162
989	14656	148
990	14671	133
991	14685	118
992	14699	103
993	14713	88
994	14728	74
995	14743	59
996	14760	44
997	14774	29
998	14788	14
999	14803	0
